                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  3.128,                 3.4591,                 4.2337,                0.00369,                0.88136,                 0.0149,                0.00644,                 2.3998,                 3.6967,                 4.1435,             0.00064706,             0.00064706,             0.00064706
                      2,                 3.0125,                  3.287,                 3.9769,                0.00365,                0.87288,                0.03823,                0.01363,                 2.4324,                 3.1851,                 4.2101,              0.0013072,              0.0013072,              0.0013072
                      3,                 2.8604,                 3.2275,                 3.6471,                0.03002,                0.12712,                0.02741,                   0.01,                 2.3614,                 3.1525,                 4.1409,              0.0019608,              0.0019608,              0.0019608
                      4,                 2.8069,                 3.1169,                 3.4159,                0.06438,                0.12712,                0.03455,                0.00918,                 2.5037,                 3.2806,                 4.0144,              0.0019703,              0.0019703,              0.0019703
                      5,                 2.6723,                 3.0486,                 3.2553,                0.18151,                0.22034,                0.12806,                0.02158,                 2.7526,                 5.0729,                 3.7084,              0.0019703,              0.0019703,              0.0019703
                      6,                 2.5902,                 2.8743,                  3.118,                0.03966,                0.38983,                0.02975,                0.00907,                 2.4249,                 6.6079,                 3.4223,              0.0019604,              0.0019604,              0.0019604
                      7,                 2.4307,                 2.8135,                 3.0502,                0.20353,                0.31356,                0.16302,                0.06237,                 2.0956,                 3.1926,                  3.051,              0.0019505,              0.0019505,              0.0019505
                      8,                 2.3653,                 2.7117,                 2.9364,                0.36729,                0.49153,                0.36095,                0.12707,                 2.1366,                 2.6809,                 3.0243,              0.0019406,              0.0019406,              0.0019406
                      9,                  2.269,                 2.6472,                  2.861,                0.28131,                0.45763,                0.22293,                0.06797,                 2.1195,                 2.9938,                 2.9447,              0.0019307,              0.0019307,              0.0019307
                     10,                 2.1498,                 2.4765,                 2.7311,                0.36084,                0.35406,                0.30613,                 0.1059,                 2.0718,                 6.1532,                 2.9564,              0.0019208,              0.0019208,              0.0019208
                     11,                 2.0755,                 2.3682,                  2.668,                0.42775,                 0.4661,                0.39495,                0.16517,                 2.0046,                 2.9681,                 2.9282,              0.0019109,              0.0019109,              0.0019109
                     12,                 2.0036,                 2.2566,                 2.5662,                0.43743,                 0.4661,                0.38914,                0.16974,                 1.8827,                 2.3879,                 2.7237,               0.001901,               0.001901,               0.001901
                     13,                 1.9217,                 2.1579,                 2.4881,                0.43646,                    0.5,                0.38337,                0.13739,                 1.8555,                 2.7059,                 2.6204,              0.0018911,              0.0018911,              0.0018911
                     14,                 1.9397,                 2.1063,                 2.4662,                0.58017,                 0.5339,                0.50185,                0.24757,                 1.6879,                 2.1247,                 2.5525,              0.0018812,              0.0018812,              0.0018812
                     15,                 1.8758,                 2.0692,                 2.4397,                0.48687,                0.51695,                0.47587,                0.24226,                 1.5986,                  2.508,                  2.415,              0.0018713,              0.0018713,              0.0018713
                     16,                 1.8281,                  1.991,                 2.3732,                0.47535,                0.52982,                0.41421,                0.16105,                 1.8854,                 2.4152,                 2.8734,              0.0018614,              0.0018614,              0.0018614
                     17,                 1.7559,                 1.8406,                 2.3149,                0.65421,                0.49705,                0.61033,                0.32884,                 1.6212,                 2.1511,                 2.4644,              0.0018515,              0.0018515,              0.0018515
                     18,                 1.7366,                 1.8786,                 2.2925,                0.63077,                0.57911,                0.62067,                0.33218,                 1.5989,                 1.9769,                 2.3795,              0.0018416,              0.0018416,              0.0018416
                     19,                 1.6675,                 1.8324,                 2.2277,                0.69667,                0.56447,                0.62659,                0.32817,                 1.5862,                 2.0137,                  2.414,              0.0018317,              0.0018317,              0.0018317
                     20,                 1.6827,                 1.7898,                 2.2423,                0.51906,                 0.5678,                0.54255,                0.28113,                 1.6819,                 1.9428,                 2.4798,              0.0018218,              0.0018218,              0.0018218
                     21,                  1.669,                 1.8063,                 2.2083,                0.73575,                 0.5339,                0.64906,                0.35462,                 1.6958,                 1.7402,                 2.5156,              0.0018119,              0.0018119,              0.0018119
                     22,                 1.6148,                 1.7065,                 2.1643,                0.72079,                0.57627,                0.69505,                0.38258,                 1.5196,                 1.6053,                 2.3259,               0.001802,               0.001802,               0.001802
                     23,                 1.6186,                 1.6965,                 2.1755,                0.74403,                 0.5912,                0.68741,                0.40461,                  1.455,                 1.8773,                 2.2528,              0.0017921,              0.0017921,              0.0017921
